epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.70711,2.10559,4.81473,1.98838,0.00854,0.63636,0.01135,0.00284,1.6914,3.84809,1.70535,0.0001,0.0001,0.0001
2,5.15211,1.57763,4.04075,1.72634,0.01321,0.90909,0.05237,0.01979,0.83518,2.96372,1.14326,0.000217822,0.000217822,0.000217822
3,6.43411,1.07119,2.91212,1.29528,0.62906,0.72727,0.76254,0.64273,0.79486,1.80738,1.08934,0.000333268,0.000333268,0.000333268
4,7.73311,1.00108,1.82943,1.23206,0.89533,1,0.9875,0.80564,0.62327,1.20953,0.99305,0.000446338,0.000446338,0.000446338
5,8.99111,0.90521,1.42513,1.22268,0.96706,1,0.995,0.79176,0.81901,1.00514,1.17245,0.000557032,0.000557032,0.000557032
6,10.2801,0.94994,1.35605,1.31261,0.91656,0.99872,0.98,0.80822,0.76992,1.15784,1.19275,0.00066535,0.00066535,0.00066535
7,11.607,0.90534,1.26456,1.22722,0.96405,0.90909,0.9875,0.83848,0.72198,1.25948,1.19174,0.000771292,0.000771292,0.000771292
8,12.8626,0.96492,1.29439,1.36877,0.99339,0.90909,0.9875,0.86678,0.6737,0.89964,1.15437,0.000874858,0.000874858,0.000874858
9,14.1205,0.92567,1.06114,1.30464,1,0.99397,0.995,0.86388,0.69737,0.73848,1.16625,0.000976048,0.000976048,0.000976048
10,15.4034,0.88558,1.09065,1.27491,0.992,0.90909,0.9875,0.83958,0.66435,0.7713,1.12061,0.00107486,0.00107486,0.00107486
11,16.641,0.83281,0.88263,1.218,0.99119,0.90909,0.9875,0.85604,0.69053,0.75678,1.13976,0.0011713,0.0011713,0.0011713
12,17.8755,0.95098,1.03651,1.33764,1,0.99598,0.995,0.87264,0.74027,0.74676,1.19394,0.00126536,0.00126536,0.00126536
13,19.1325,0.76131,0.93218,1.16377,0.99329,1,0.995,0.86967,0.71779,0.67628,1.20244,0.00135705,0.00135705,0.00135705
14,20.3867,0.85133,0.82648,1.25635,0.98081,1,0.995,0.85572,0.69418,0.65454,1.16452,0.00144636,0.00144636,0.00144636
15,21.6635,0.81775,0.87674,1.20192,0.98081,1,0.995,0.85572,0.69418,0.65454,1.16452,0.00153329,0.00153329,0.00153329
16,22.8935,0.82619,0.94209,1.25412,0.97841,1,0.995,0.85773,0.72459,0.67618,1.18253,0.00161785,0.00161785,0.00161785
17,24.1145,0.75907,0.80219,1.17184,0.98564,1,0.995,0.84597,0.73174,0.5862,1.20538,0.0016832,0.0016832,0.0016832
18,25.3435,0.82221,0.85041,1.23041,0.99053,1,0.995,0.84889,0.7566,0.52927,1.26593,0.0016634,0.0016634,0.0016634
19,26.5605,0.88039,0.79888,1.26764,0.99053,1,0.995,0.84889,0.7566,0.52927,1.26593,0.0016436,0.0016436,0.0016436
20,27.7755,0.89639,0.85097,1.24902,0.99464,1,0.995,0.82864,0.79326,0.52642,1.3362,0.0016238,0.0016238,0.0016238
21,29.0285,0.87559,0.78544,1.29425,0.99496,1,0.995,0.8306,0.82294,0.53232,1.35812,0.001604,0.001604,0.001604
22,30.2455,0.78221,0.67808,1.19156,0.99458,1,0.995,0.81928,0.88848,0.53855,1.43148,0.0015842,0.0015842,0.0015842
23,31.4585,0.85671,0.80027,1.2337,0.99458,1,0.995,0.81928,0.88848,0.53855,1.43148,0.0015644,0.0015644,0.0015644
24,32.6955,0.81153,0.68324,1.21917,0.99451,1,0.995,0.84119,0.79324,0.51023,1.3209,0.0015446,0.0015446,0.0015446
25,33.9475,0.77298,0.6463,1.16491,0.99387,1,0.995,0.85529,0.72989,0.5194,1.25319,0.0015248,0.0015248,0.0015248
26,35.1975,0.84516,0.66182,1.26032,0.99464,1,0.995,0.86191,0.6761,0.49484,1.20227,0.001505,0.001505,0.001505
27,36.4705,0.77041,0.6042,1.18251,0.99464,1,0.995,0.86191,0.6761,0.49484,1.20227,0.0014852,0.0014852,0.0014852
28,37.7105,0.91085,0.80131,1.36244,0.99576,1,0.995,0.858,0.74091,0.47969,1.29009,0.0014654,0.0014654,0.0014654
29,38.9345,0.87114,0.66033,1.26582,0.99671,1,0.995,0.80466,0.84875,0.46778,1.40906,0.0014456,0.0014456,0.0014456
30,40.1675,0.76451,0.57991,1.18168,0.99794,1,0.995,0.84299,0.73138,0.40135,1.30228,0.0014258,0.0014258,0.0014258
31,41.4025,0.73909,0.5918,1.24764,0.99794,1,0.995,0.84299,0.73138,0.40135,1.30228,0.001406,0.001406,0.001406
32,42.6765,0.73787,0.61935,1.14198,0.99672,1,0.995,0.86659,0.6253,0.33947,1.17017,0.0013862,0.0013862,0.0013862
